candidate,N_CELLS,mesh_variant,mode,epsilon,radius,fit_half_width,regularization_operator,tangential_regularization,regularization_iterations,preserve_modes_through,topology_valid,interface_elements,interface_components,open_endpoints,curvature_fits,curvature_fallbacks,exact_mode_amplitude,raw_mode_amplitude,regularized_mode_amplitude,raw_amplitude_transfer,regularized_amplitude_transfer,raw_phase_error_deg,regularized_phase_error_deg,raw_L2,raw_Linf,raw_relative_L2,raw_relative_Linf,regularized_L2,regularized_Linf,regularized_relative_L2,regularized_relative_Linf,utility_status,row_pass,row_reason
h5_helmholtz_l16,64,perturbed,3,0.02,0.001,5,helmholtz,16,120,4,1,52,1,0,52,0,159.368209513,155.901225909,50.6529721763,0.978245450491,0.317836112555,1.58339991253,1.26711387558,106.557573581,149.789987475,0.10595481951,0.130024778639,77.2329464146,117.942539514,0.0767960701675,0.102379690733,0,0,amplitude
h5_helmholtz_l16,64,perturbed,4,0.02,0.001,5,helmholtz,16,120,4,1,52,1,0,52,0,300.924502277,218.832868735,46.8117953877,0.727201896422,0.155559932918,0.455898126681,0.28577798508,137.369896606,222.03155892,0.134575116729,0.173980712791,179.367196296,267.954676825,0.175717984619,0.209965402651,0,0,amplitude
h5_helmholtz_l16,128,uniform,2,0.02,0.001,5,helmholtz,16,120,4,1,104,1,0,104,0,59.9458810301,61.7680216165,49.6205590843,1.03039642683,0.827755939719,0.00746291938726,0.0169826533728,24.8223561891,39.2104282545,0.0248098859729,0.0370914604546,7.77587431701,15.9651962544,0.00777196788551,0.0151024222861,0,1,ok
h5_helmholtz_l16,128,uniform,3,0.02,0.001,5,helmholtz,16,120,4,1,102,1,0,102,0,159.805155466,153.208510298,99.6620351118,0.958720698662,0.623647183481,0.0541797685504,0.0436188557862,27.1827847316,50.8108611277,0.0270347956317,0.0440530566359,42.9622443032,69.3125386835,0.0427283483309,0.0600940256558,0,0,amplitude
h5_helmholtz_l16,128,uniform,4,0.02,0.001,5,helmholtz,16,120,4,1,108,1,0,108,0,298.984125985,271.482261587,146.788581383,0.908015636926,0.490957775434,0.00701696984851,0.00784525927759,36.1311687061,57.2517524009,0.035399862525,0.0445350272935,107.778373729,158.663343192,0.105596905658,0.123421136004,0,0,amplitude
h5_helmholtz_l16,128,perturbed,2,0.02,0.001,5,helmholtz,16,120,4,1,103,1,0,103,0,59.9132664145,60.3066562374,49.6284115893,1.00656598858,0.828337604662,2.0249888753,1.50650706416,52.8279131064,154.296407625,0.0528024361169,0.145940768257,11.648952412,28.158403412,0.011643334544,0.0266335366461,0,1,ok
h5_helmholtz_l16,128,perturbed,3,0.02,0.001,5,helmholtz,16,120,4,1,101,1,0,101,0,159.893324101,150.967859061,99.2504920741,0.944178626032,0.620729430902,0.410321855138,0.857932076414,53.2797245044,152.96338198,0.0529933397556,0.132619303943,44.3995699842,74.6966392286,0.0441609171042,0.0647620114902,0,0,amplitude
h5_helmholtz_l16,128,perturbed,4,0.02,0.001,5,helmholtz,16,120,4,1,108,1,0,108,0,299.206931342,269.013691937,145.292760735,0.899089104419,0.485592897475,0.0387860714991,0.0867164397605,61.3126892872,140.946348304,0.0600553993891,0.109483073548,109.349649313,170.427250663,0.107107304196,0.132382991425,0,0,amplitude
h3_biharmonic_20,32,uniform,2,0.02,0.001,3,biharmonic,0.05,20,4,1,28,1,0,28,0,59.722432511,88.986529597,79.9758828937,1.49000176074,1.33912634719,0.0154987370587,0.0418135897628,156.399628033,189.570264121,0.156305693804,0.17975144219,25.1107789708,49.1930856648,0.0250956973386,0.0466451219816,0,1,topology-only coarse point
h3_biharmonic_20,32,uniform,3,0.02,0.001,3,biharmonic,0.05,20,4,1,28,1,0,28,0,159.668531205,138.133217719,111.33893025,0.86512487261,0.697312923279,0.253569431605,0.348644905162,158.779125564,209.751989123,0.157896694329,0.181863351438,40.3782541708,74.286897017,0.0401538478923,0.0644097065105,0,1,topology-only coarse point
